id,split
22256635,2
27450690,4
54037174,5
77493077,9
79357270,5
82428052,2
87311443,8
114749757,2
138560519,2
139353149,7
150009866,5
152276337,6
153331729,4
153600803,3
154186883,5
161894108,7
169740962,8
178084608,7
208005265,5
224733383,8
225701312,0
237279459,5
254015372,8
280570905,3
284253328,8
287371884,2
293668009,8
300891545,1
307040060,5
340940431,8
341549388,3
343979528,2
345843351,5
355915808,9
358244768,7
362249102,5
376710107,4
391033562,3
394506405,3
407636870,5
414397990,1
432151373,2
434956625,8
450466581,8
459938824,4
462116798,0
466393763,4
473458873,2
475961218,8
476919417,5
514864625,4
558577514,8
576955352,6
584748441,4
590180328,8
606675581,3
607698611,8
612361386,8
612369546,3
616913502,2
644569201,2
652183513,9
659300233,6
680682776,8
686065030,7
696140479,8
702276920,7
706540367,9
719162320,4
729566708,4
746806639,6
764135765,8
765142199,5
772402535,9
792461063,5
797131553,7
797617667,4
809257181,2
818316615,4
839277218,9
850753790,3
867036368,9
870494618,6
871527188,9
888147137,0
896440365,7
903134494,6
939463818,9
950706683,4
955104481,2
969644150,8
977790065,2
979105271,6
983161859,7
1017368362,2
1035617232,6
1048994919,4
1050389269,3
1062191540,1
1063540668,1
1065542064,5
1086099304,5
1098067176,5
1099662066,6
1102537245,8
1108786298,7
1115316430,8
1130875035,2
1137429102,5
1148598836,1
1150845666,1
1156286321,5
1157220703,7
1164045443,3
1174012385,1
1176678420,0
1190311130,6
1198083804,6
1227668448,0
1228414270,4
1229646808,0
1243818932,3
1246453271,8
1267801288,1
1273021506,7
1306470083,0
1311827953,8
1321814522,9
1357591601,6
1365464354,0
1365464552,2
1376817061,4
1392815339,9
1397574294,5
1398901614,3
1403023535,1
1446138065,6
1454890762,6
1472348110,7
1475696849,0
1479035868,8
1506846893,9
1510194680,0
1512511397,0
1512938791,0
1542593818,8
1553668749,3
1565719010,4
1588358875,9
1590833599,5
1591255325,6
1591372448,5
1606211482,1
1609006537,9
1629506534,1
1639654912,9
1649797292,4
1652291735,1
1654469510,5
1655024340,1
1687035519,5
1708693207,6
1710669009,1
1716494271,7
1722868235,7
1725860818,0
1734252360,8
1740983281,0
1746548720,1
1748756298,0
1769796641,3
1775841764,9
1784144077,7
1794263846,9
1796995620,0
1816740307,5
1832539698,1
1838336228,9
1840540791,6
1849600862,1
1865623644,9
1884595659,9
1890554908,5
1908615028,5
1930312207,6
1934524720,3
1946724264,7
1947830421,8
1950284236,3
1950931315,5
1953495807,6
1953959953,4
1980002041,9
2000173498,2
2001769196,1
2025084277,6
2037350759,9
2043774243,0
2047806278,1
2056262445,5
2060177384,2
2072028876,8
2080004269,8
2081158779,7
2106224709,0
2110149645,6
2117806863,5
2127549275,7
2161186383,1
2169779159,1
2188486134,9
2230139336,9
2241959097,2
2248673613,5
2249807516,2
2262828542,1
2267885345,2
2269913453,1
2274638179,2
2278189129,5
2302694137,7
2302711496,5
2319074043,7
2346311142,9
2347919472,4
2352498529,8
2352904247,9
2359918541,9
2371088184,6
2371355491,8
2384678233,1
2395544863,8
2405743565,1
2412643376,6
2414065368,1
2440337819,4
2445585834,7
2454474404,9
2461908386,3
2464148404,4
2482176582,7
2484521289,1
2484664789,5
2486109640,1
2501583042,0
2508385552,4
2510200747,3
2527125116,1
2549679267,0
2562077276,6
2562640465,9
2562791652,9
2580259014,5
2605331397,3
2606535500,5
2607927156,4
2637481068,7
2653406792,9
2655771250,4
2659323483,1
2661543774,8
2664835150,1
2755706761,5
2764328476,5
2774782227,1
2783896542,6
2807618475,8
2820820905,3
2825790458,8
2874653924,7
2949487698,3
2957906887,3
2959414062,4
2960921402,3
2975052593,2
2975081442,4
2978469504,0
2981933838,7
2987772018,8
3002199485,1
3002741754,4
3008076934,5
3015687599,3
3016427664,8
3025429213,2
3031667276,3
3038244770,7
3046298103,4
3051598185,6
3055743287,0
3065383766,0
3065427987,0
3066206795,9
3067668247,3
3094341323,3
3099079098,3
3106355980,1
3115504264,3
3118614908,1
3170023635,1
3180390800,0
3181451796,4
3181507978,9
3199936781,1
3214522348,0
3220177613,4
3232623757,2
3275828380,6
3276058038,3
3285964671,9
3292609128,9
3300992243,3
3312911305,7
3318160394,3
3329760063,6
3330138128,9
3341431231,7
3343987295,4
3354746117,7
3389653316,7
3389716623,3
3398744236,4
3413492762,9
3416991448,3
3422134245,8
3424062274,0
3434644401,4
3442298497,5
3445951515,0
3452586384,9
3456115104,8
3485550038,9
3489244027,6
3493514045,1
3521324414,7
3540929837,8
3544885963,9
3550372031,5
3569123230,1
3592428901,6
3594062972,5
3595103012,5
3601094504,0
3604101515,2
3631340241,6
3642385781,4
3655886002,4
3656903173,7
3662102955,8
3666074192,1
3666849584,9
3668902992,2
3676668894,8
3682349874,4
3686232173,0
3688866976,4
3692217843,2
3709220207,2
3726878426,7
3733982411,8
3735913569,3
3741843554,8
3751962188,1
3755163448,3
3764518688,4
3771224114,1
3783846145,6
3787341154,2
3803023354,9
3808429134,7
3813816797,9
3842504905,7
3844716110,3
3851368994,9
3887287043,2
3893007480,0
3907242151,4
3908713987,2
3913405710,6
3920049744,4
3925318767,0
3933201378,7
3943533646,6
3969023453,4
3978768802,5
3985854194,0
3988648094,5
3996279564,1
3998877803,1
4019401045,6
4029647358,1
4037787032,7
4042356254,9
4049472044,3
4052639779,7
4052659053,6
4053160842,3
4059351914,9
4074474972,8
4084299798,2
4103209649,8
4111217019,4
4115491095,6
4115793139,9
4125103437,1
4128938872,9
4138861260,5
4139541899,7
4141624287,0
4146644134,2
4161974951,4
4166248118,4
4200423736,5
4241938761,0
4245760995,0
4247387150,1
4262175618,4
4284228332,6
4319824577,1
4322073318,9
4322725117,4
4327324287,8
4328489875,5
4338641239,6
4349126668,9
4366538503,9
4389426298,5
4399171424,5
4403529827,7
4403937901,3
4422226874,8
4434254226,3
4438456251,6
4439809157,2
4442352112,1
4449009805,1
4458509582,3
4478320237,6
4479956647,3
4501564631,6
4509662820,9
4513863235,6
4518929549,6
4522307661,1
4538557498,5
4555109618,4
4562557799,1
4570717827,6
4571440855,9
4573662562,4
4586037084,4
4613446107,8
4614685693,2
4619717518,3
4622411778,4
4631253826,0
4637027044,7
4638601029,7
4645048788,0
4651969382,1
4683464107,0
4685113670,7
4690682714,6
4739860249,5
4747633039,8
4752084034,3
4785988521,3
4800124808,0
4812081730,2
4821695732,8
4825268486,1
4828500189,8
4832622328,3
4848676414,0
4871474567,5
4877737228,5
4899197725,1
4906864109,8
4911730090,0
4944192116,8
4961651925,4
4981612342,8
5001526614,2
5007968898,0
5018749588,8
5023699487,1
5024929854,3
5032311691,3
5043307451,4
5071029494,1
5093285312,4
5108322013,7
5109445939,1
5128459198,9
5129602693,0
5131414348,6
5141607873,1
5143194874,0
5148693922,1
5154877654,6
5155134369,1
5184543663,4
5200557846,0
5205241476,3
5217417208,9
5218235480,5
5237257810,4
5250139113,0
5251479682,1
5280207195,5
5281435396,2
5285933881,6
5286924267,1
5311718266,2
5352401656,3
5363792142,1
5373621756,0
5374096044,3
5400097140,0
5411132792,1
5411890901,0
5414697700,4
5428841065,4
5445385080,1
5450766283,3
5461415049,7
5481161689,1
5499479826,7
5513244257,9
5515465016,7
5519753516,7
5524544320,2
5527050369,9
5529578903,0
5549004771,9
5559531935,8
5560692606,5
5565181350,9
5565816454,8
5577251089,6
5578881897,5
5587484443,1
5592466220,8
5604027394,0
5608385685,7
5620044198,7
5620612757,1
5650444379,3
5675193983,7
5676519107,9
5676567131,2
5712784281,5
5722526577,1
5741008483,8
5742222263,0
5744484977,6
5756758068,4
5774686301,9
5797178007,2
5805759512,5
5827453963,8
5846457893,3
5847927136,6
5867740789,5
5876414973,2
5882672344,4
5894559534,0
5905324515,1
5905749491,5
5907722748,9
5910542307,8
5920307729,9
5922830167,8
5931193116,7
5943345463,7
5954603369,6
5970495115,2
5976790826,9
5985816357,8
5989202679,9
6033390938,7
6045171959,2
6053260318,6
6065667330,5
6074026266,2
6086155969,6
6151112021,3
6152887604,0
6154130217,2
6157798653,0
6158098521,7
6158268438,3
6163821856,5
6173674523,7
6174148414,2
6190159052,6
6231470880,0
6234765482,1
6236914612,6
6242592607,8
6244130357,7
6247446359,5
6261260970,9
6275415756,7
6279269689,8
6281320008,4
6288541618,8
6289057046,8
6315968007,1
6321809950,3
6323020638,0
6346289114,1
6349582882,8
6355765927,4
6368749530,8
6376198617,4
6387484355,0
6399405008,8
6429085833,9
6466820583,7
6493343057,6
6497232605,0
6512610557,3
6515974574,6
6522150877,7
6523258589,4
6555962475,2
6559126731,2
6575741242,4
6576891918,6
6577333466,0
6592369368,7
6628805649,0
6635257656,3
6637134298,4
6639812708,5
6640291215,2
6644864689,3
6648921875,9
6651169921,3
6656537492,8
6665628638,0
6681621756,8
6700574109,3
6707201667,2
6725952863,8
6733117598,9
6749658991,5
6749807983,8
6763178756,6
6769700335,7
6782934424,6
6809805323,4
6820402685,7
6822378009,4
6828409214,6
6830158526,2
6845140119,7
6855842694,4
6896527397,6
6910042622,4
6932678913,4
6935525746,8
6937847959,1
6940372488,2
6966501552,3
6977248939,4
6988878640,2
7009246975,8
7029483357,3
7035869579,7
7036803932,0
7039348429,9
7079511059,7
7084026040,2
7091753251,5
7107055441,4
7107177232,4
7107800856,0
7119161801,2
7119536683,5
7127225874,0
7138583506,0
7142873213,1
7146244657,0
7155399692,3
7157821073,0
7179059984,4
7190882678,8
7191428834,4
7208016607,8
7218773776,8
7263515948,7
7264524636,8
7285192011,3
7291875480,4
7300557954,1
7324849418,1
7325109584,3
7333097644,9
7333317782,1
7339531688,2
7343169356,5
7361246451,5
7363591087,7
7378110920,1
7383843101,0
